# ── Navigation / Navbar ──────────────────────────────────────────────────────
# ── Sidebar ──────────────────────────────────────────────────────────────────
# ── Toolbar ──────────────────────────────────────────────────────────────────
# ── Filter form ──────────────────────────────────────────────────────────────
# ── Table columns ─────────────────────────────────────────────────────────────
# ── Book detail fields ────────────────────────────────────────────────────────
# ── Modal titles ──────────────────────────────────────────────────────────────
# ── Buttons ───────────────────────────────────────────────────────────────────
val_color_invalid,"Color invàlid: {0}. Usa null per esborrar, o format #rgb / #rrggbb.","Color inválido: {0}. Usa null para borrar, o formato #rgb / #rrggbb.","Invalid color: {0}. Use null to clear, or #rgb / #rrggbb format."
val_llista_blank,El nom de la llista no pot estar buit,El nombre de la estante no puede estar vacío,Shelf name cannot be empty
val_tag_blank,El nom de l'etiqueta no pot estar buit,El nombre de la etiqueta no puede estar vacío,Tag name cannot be empty
err_causa,Causa:,Causa:,Cause:
err_stack_trace,─── Traça ───,─── Traza ───,─── Stack trace ───
# ── Yes / No ─────────────────────────────────────────────────────────────────
# ── Loan badge ───────────────────────────────────────────────────────────────
# ── Toast messages ───────────────────────────────────────────────────────────
# ── Confirm dialogs ───────────────────────────────────────────────────────────
# ── Prompts ───────────────────────────────────────────────────────────────────
# ── Pagination ────────────────────────────────────────────────────────────────
# ── Settings (web) ───────────────────────────────────────────────────────────
# ── Shelf manager (web) ──────────────────────────────────────────────────────
# ── Java: App exit ────────────────────────────────────────────────────────────
# ── Java: Config dialog ───────────────────────────────────────────────────────
dlg_error_title,Error,Error,Error
# ── Java: Main table ──────────────────────────────────────────────────────────
# ── Java: Context menu ────────────────────────────────────────────────────────
# ── Java: Dialogs (main) ──────────────────────────────────────────────────────
dlg_network_error,Error de connexió amb OpenLibrary:,Error de conexión con OpenLibrary:,Connection error with OpenLibrary:
dlg_network_error_title,Error de xarxa,Error de red,Network error
# ── Java: Delete confirms ─────────────────────────────────────────────────────
# ── Java: Backup / restore ────────────────────────────────────────────────────
# ── Java: Book detail panel ───────────────────────────────────────────────────
# ── Java: About dialog ────────────────────────────────────────────────────────
# ── Java: Import/export CSV ───────────────────────────────────────────────────
# ── Java: Misc ────────────────────────────────────────────────────────────────
# ── HTML: Filter placeholders ─────────────────────────────────────────────────
# ── Java: GestioLlistesDialog ─────────────────────────────────────────────────
# ── Java: ConfiguracioDialog profile management ───────────────────────────────
# ── Java: GuardarLlibresDialogoControl (internet search) ─────────────────────
# ── Java: TagsDelLlibreDialog ─────────────────────────────────────────────────
# ── Java: GuardarLlibresDialogo (add book dialog) ────────────────────────────
# ── Java: MostrarBibliotecaPanel sidebar/toolbar ─────────────────────────────
# ── Java: MostrarBibliotecaControl dialogs ────────────────────────────────────
"dlg_import_json_errors","{0} errors.","{0} errores.","{0} errors."
# ── Java: Statistics summary ──────────────────────────────────────────────────
# ── Java: Statistics table columns ───────────────────────────────────────────
# ── Java: DetallesLlibrePanel buttons ────────────────────────────────────────
# ── Java: GestioLlistesDialog / AboutDialog rows ─────────────────────────────
lbl_errors,errors.,errores.,errors.
val_estat_llarg,L'estat no pot superar 50 caràcters,El estado no puede superar 50 caracteres,Status cannot exceed 50 characters
val_must_be_int,"{0} ha de ser un nombre enter vàlid.","{0} debe ser un número entero válido.","{0} must be a valid integer."
val_must_be_number,"{0} ha de ser un nombre vàlid.","{0} debe ser un número válido.","{0} must be a valid number."
err_db_init_h2,No s'ha pogut inicialitzar la base de dades H2.,No se ha podido inicializar la base de datos H2.,Failed to initialise the H2 database.
err_db_init_mariadb,No s'ha pogut inicialitzar la base de dades MariaDB.,No se ha podido inicializar la base de datos MariaDB.,Failed to initialise the MariaDB database.
