# translate_merged.txt — non-Catalan text in the Biblioteca codebase
#
# Auto-merged from translate.txt (comment/string inventory) and
# translate1.txt (identifier / string-suggestion plan). Both files
# are kept untouched; this is the unified single source of truth.
#
# TSV columns:
#   KIND      COMMENT_BLOCK | COMMENT_LINE | STRING | IDENTIFIER | LICENSE_HEADER
#   FILE      source path relative to repo root
#   LINE      line number, or a range (e.g. 5-8)
#   LANG      en | mixed | section-header | ca   (blank for IDENTIFIER rows)
#   ORIGINAL  the non-Catalan text as it appears in source
#   SUGGESTED proposed Catalan form, or "-" if none / "keep" if no change
#   NOTES     context / occurrence counts / edge-case flags
#
# Meta sections (SUMMARY / RENAMES / JUDGMENT / FILE INVENTORY) from
# translate1.txt are preserved verbatim in the ## META block at the
# bottom of this file.
#
# Filter examples:
#   rg -F $'\tIDENTIFIER\t' translate_merged.txt
#   rg '^STRING\t' translate_merged.txt

KIND	FILE	LINE	LANG	ORIGINAL	SUGGESTED	NOTES
# --- from translate.txt (263 rows) ---
COMMENT_BLOCK	src/domini/ControladorDomini.java	27	en	/** * Singleton facade over the library's in-memory state + persistence. * * <p>Responsibilities: * <ul> * <li>Singleton lifecycle ({@link #getInstance()}, {@link #resetForTest()}, * {@link #resetForProfileSwitch()}, {@link #create(ControladorPersistencia)}).</li> * <li>Owns the {@link StateContext}: the three backing lists * ({@code bib}, {@code llistes}, {@code tags}), the in-memory lock * ({@code BIB_LOCK}), and the id-index maps.</li> * <li>Delegates every business operation to one of six focused * collaborator classes in {@code domini.facade} — Shelf, Tag, * Loan, Book, Stats, Backup.</li> * </ul> * * <p>The public API of this class is unchanged: every method that existed * before the split still exists, with the same signature, same * exceptions, and same side effects. The only externally observable * change is the file's line count (637 → ~150). */	-	
COMMENT_LINE	src/domini/ControladorDomini.java	100	mixed	── Book / search / blob ──────────────────────────────────────────────────	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	6	en	/** * Pagination-aware sort specification, extracted from LlibreFilter so that * filter criteria stay pure data while sort is a separate pagination concern. * * <p>Single source of truth for both SQL fragment and in-memory comparator * per sortable column. The {@link #COLUMNS} map is the canonical registry — * adding a new column is a one-line edit (per the tot.txt LOW finding on * the parallel {@code SQL_COLS} / {@code COMPARATORS} maps). */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	22	en	/** Canonical registry: one entry per sortable column. */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	25	en	/** ISBN-ascending comparator; nulls sort first to match binarySearch behavior. */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	45	en	/** * Unknown / null column names are tolerated and silently coerced to * {@link #COL_ISBN}. The fallback lives here (not in the call site) * so the policy of "unknown → ISBN" is in one place. toSql() and * {@link #comparator(String)} both honour the fallback. */	-	
STRING	src/domini/EspecificacioOrdenacio.java	48	en	unknown → ISBN	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	61	en	/** SQL ORDER BY expression fragment, e.g. "l.`ISBN` ASC" */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	67	en	/** * In-memory comparator for the column. Falls back to * {@link #ISBN_COMPARATOR} for unknown columns so callers don't * have to repeat the null-coalesce. Null column is treated as * unknown (same coercion the constructor applies). */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	79	en	/** Read-only view of all in-memory comparators keyed by SortSpec column name. */	-	
COMMENT_BLOCK	src/domini/EspecificacioOrdenacio.java	86	en	/** Read-only view of the canonical column registry. */	-	
COMMENT_BLOCK	src/domini/Llibre.java	52	en	/** * Copy the canonical "updateable" fields (everything except the * per-language title, cover blob, autors list, notes, pages, etc.) * into {@code target}. The {@code autor} parameter is the joined * string from the validator / form; callers that have the parsed * list should call {@link #setAutors(java.util.List)} afterwards, * which OVERWRITES the joined string. The two-step order * (bind → setAutors) is intentional: bindUpdateableFields first * seeds the joined string so {@link #getAutors()} is consistent * immediately, then the list override lets the caller replace it * with the parsed result without the field-level split logic. */	-	
COMMENT_BLOCK	src/domini/Llibre.java	134	en	/** Returns {@code s.trim()} if {@code s} is non-null and not blank, else {@code null}. */	-	
COMMENT_BLOCK	src/domini/Llibre.java	139	en	/** Returns the title for the given lang code ("ca","es","en"), falling back to nom. */	-	
COMMENT_BLOCK	src/domini/Llibre.java	155	en	/** Used when loading multiple author rows from SQL (see {@link persistencia.LlibreDao#getAll}). */	-	
COMMENT_BLOCK	src/domini/LlibreCore.java	6	en	/** * Immutable value-object view of a book's identifying/business data. * Carries a 16-field subset of {@link Llibre} (identity, authors, title, * year, descripcio, valoracio, preu, llegit, imatge, pagines, editorial, * serie, volum, idioma, format, paisOrigen). The remaining Llibre state * (notes, paginesLlegides, dataCompra, dataLectura, estat, desitjat, * nomCa/Es/En, exemplars, llenguaOriginal, cover blob) is consumed in * place from the mutable Llibre. Future refactor: Llibre composes a * LlibreCore + extension state. */	-	
COMMENT_BLOCK	src/domini/LlibreCore.java	34	mixed	/** Project a {@link Llibre} into its immutable core. */	-	
COMMENT_BLOCK	src/domini/LlibreCore.java	44	en	/** Bulk projection — equivalent to {@code source.stream().map(LlibreCore::from).toList()} * but avoids the stream lambda allocation. */	-	
COMMENT_BLOCK	src/domini/LlibreLlistaContext.java	3	en	/** * Per-book context for a shelf membership: which shelf, which book, and the * shelf-local values (rating, read flag) that only make sense in the context * of that specific (book, shelf) pair. Use this instead of putting the * per-book fields on {@link Llista} directly — the shelf itself has no * rating, only the (book, shelf) join does. */	-	
COMMENT_BLOCK	src/domini/SqlOp.java	5	en	/** * Lambda body that may throw {@link SQLException}. Used by domain-layer try/catch wrappers * to convert SQL errors into {@link BibliotecaException} without boilerplate at each call site. */	-	
COMMENT_BLOCK	src/domini/SqlOp.java	13	en	/** Run {@code op}; rethrow any SQLException as a {@link BibliotecaException} with the cause preserved. */	-	
COMMENT_BLOCK	src/domini/facade/DelegatCopiaSeguretat.java	13	en	/** * Backup, restore, and clear-all. Touches all three state lists; the * snapshot is taken atomically under the state lock; the file I/O runs * outside the lock (the original code did the same — I/O is not held * against concurrent state reads). */	-	
COMMENT_BLOCK	src/domini/facade/DelegatPrestatgeria.java	16	en	/** * Shelf ({@link Llista}) management and book↔shelf relation operations. * * <p>All single-DB mutations follow an atomic contract: the state * lock is held for the entire {@code pre-check → persistence → * in-memory mutate} sequence. This closes the race that existed * in the pre-facade {@code ControladorDomini}, where two threads * renaming the same shelf could both pass the pre-check, race the * DB (last-writer-wins), and then both mutate the in-memory map — * the second mutation was silently lost or the in-memory state * diverged from the DB. * * <p>For the move-up / move-down helpers the lock is also held * across the two single-row updates * ({@link #swapLlistesOrdreLocked}); both writes are brief and the * caller already holds the lock, so a release-and-reacquire dance * would add complexity for negligible throughput gain. */	-	
COMMENT_BLOCK	src/domini/facade/DelegatPrestatgeria.java	134	en	/** Caller MUST hold the state lock. */	-	
COMMENT_BLOCK	src/domini/facade/DelegatPrestatgeria.java	141	en	/** * Caller MUST hold the state lock. Holds it across the two DB * updates as well — both are single-row writes so the lock is * only held for milliseconds. The original code already * followed this pattern; it is preserved here for consistency * with the rest of the delegate and because the caller * ({@link #moveLlistaUp} / {@link #moveLlistaDown}) is itself * already inside a {@code withLock} block, making a * release-and-reacquire dance unnecessarily complex. */	-	
COMMENT_BLOCK	src/domini/facade/DelegatPrestec.java	10	en	/** * Loan ({@link PrestecRow}) management and loan queries. * * <p>All operations delegate to the persistence layer; loan state is * not held in memory (it lives entirely in the DB). Operations translate * {@link SQLException} into {@link BibliotecaException} for callers. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	12	en	/** * Shared in-memory state for the {@link domini.ControladorDomini} facade. * * <p>Package-private to {@code domini.facade}; only the delegates and the * facade itself touch this. Exposes the lock, the three backing lists * ({@code bib}, {@code llistes}, {@code tags}), the id-index maps * ({@code llistesById}, {@code tagsById}), and the persistence reference. * * <p>All reads and writes of the backing lists MUST go through the * {@link #lock} so the lists and the id-index maps stay in sync. The * {@link #withLock} and {@link #withLockReturning} helpers are the * canonical way to do that. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	49	en	/** The monitor used by {@link #withLock} / {@link #withLockReturning}. * Package-private (no public accessor): every delegate in * {@code domini.facade} goes through {@code withLock(...)} so * there is no reason for a caller to acquire the lock directly. * The package-private access is preserved for the facade * package (e.g. tests that need a raw {@code synchronized * (state.lock) { ... }}) but the public surface stays * clean. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	59	en	/** Returns the live backing list. Callers MUST hold {@link #lock()} before * reading or mutating; iterating without the lock risks * {@link java.util.ConcurrentModificationException} and mutating without * the lock can desync the list from the id-index maps. Prefer * {@link #withLock} / {@link #withLockReturning} for read+copy patterns. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	65	mixed	/** See {@link #bib()} for the locking contract. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	67	mixed	/** See {@link #bib()} for the locking contract. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	72	en	/** Replace all three backing lists atomically (used by restoreFromSQL). */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	84	en	/** Clear all three backing lists and the id-index maps (used by clearAll). * Mirrors {@link #replaceAll(ArrayList, ArrayList, ArrayList)}'s contract * by going through {@link #rebuildIdIndexesLocked()} for consistency * (today the two paths clear the maps directly, but the centralised * call makes future additions — e.g. a new id-index map — a single * line change rather than a two-line search). */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	99	en	/** Rebuild id-index maps from the current backing lists. Must be called under lock. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	107	en	/** Run {@code action} while holding the state lock. */	-	
COMMENT_BLOCK	src/domini/facade/StateContext.java	112	en	/** Run {@code action} while holding the state lock; return its result. */	-	
COMMENT_BLOCK	src/domini/facade/TagDelegate.java	12	en	/** * Tag ({@link Tag}) management and book↔tag relation operations. * * <p>All methods follow the same contract: mutate the persistence layer * first, then update the in-memory tag list + id-index map atomically * under the {@link StateContext#lock() state lock}. */	-	
STRING	src/domini/facade/TagDelegate.java	31	en	Tag not found:	-	
COMMENT_BLOCK	src/herramienta/AnalitzadorOpenLibrary.java	13	en	/** * Pure-JSON parsing for OpenLibrary responses. Extracted from {@link OpenLibraryClient} so the * network path and the parsing logic can be tested independently. */	-	
COMMENT_BLOCK	src/herramienta/AnalitzadorOpenLibrary.java	20	en	/** Parse an {@code /api/books?bibkeys=ISBN:...&format=json&jscmd=data} response body. */	-	
COMMENT_BLOCK	src/herramienta/AutoCompletion.java	18	en	/* This work is hereby released into the Public Domain. * To view a copy of the public domain dedication, visit * http://creativecommons.org/licenses/publicdomain/ */	-	
STRING	src/herramienta/ClientOpenLibrary.java	163	en	User-Agent	-	
STRING	src/herramienta/ClientOpenLibrary.java	235	en	Interrupted during retry backoff	-	
STRING	src/herramienta/ClientOpenLibrary.java	240	en	No retries performed for	-	
COMMENT_BLOCK	src/herramienta/ConfigDTO.java	3	en	/** * DTO for the Swing settings dialog. Mirrors fields exposed in configuration UI; * persistent state still lives in {@link Config}. */	-	
COMMENT_BLOCK	src/herramienta/Configuracio.java	53	en	/** Internal: write a key into a specific domain store. */	-	
COMMENT_BLOCK	src/herramienta/Configuracio.java	63	en	/** Internal: read a key from a specific domain store. */	-	
STRING	src/herramienta/Configuracio.java	450	en	config-save	-	
STRING	src/herramienta/Configuracio.java	562	en	config-shutdown	-	
COMMENT_BLOCK	src/herramienta/ConfiguracioDb.java	3	en	/** Typed read/write view of database-related {@link Config} keys. */	-	
COMMENT_BLOCK	src/herramienta/ConfiguracioFiltre.java	3	en	/** * Typed read/write view of the small "filter / defaults" sub-store of * {@link Config} (currently just {@code defaultImgDir}; the preset * save/delete APIs remain on {@link Config} directly because they span * 17 keys at once). */	-	
COMMENT_BLOCK	src/herramienta/ConfiguracioFinestra.java	5	en	/** * Typed read/write view of window-geometry and table-column {@link Config} keys. * The column-width / column-visible keys live in the WINDOW sub-store * (see {@code Config.WINDOW_KEYS} plus the dynamic {@code colWidth_*} / * {@code colVisible_*} prefix rule). */	-	
COMMENT_BLOCK	src/herramienta/ConfiguracioUi.java	5	en	/** * Typed read/write view of UI-related {@link Config} keys. * Internally backed by the UI sub-store introduced with the B1 god-class * split. Callers should prefer these typed setters over {@link Config}'s * generic ones — they group related configuration and make the * dependency from callers to a specific sub-domain explicit. */	-	
STRING	src/herramienta/DialegError.java	95	mixed	OptionPane.warningIcon	-	
COMMENT_BLOCK	src/herramienta/Escapers.java	3	en	/** Centralized string-escape utilities used by export/serialization paths. */	-	
COMMENT_BLOCK	src/herramienta/Escapers.java	7	mixed	/** HTML-escape: handles & < > " '. */	-	
COMMENT_BLOCK	src/herramienta/Escapers.java	17	en	/** SQL single-quote-string escape (doubles a {@code '} character). The caller adds outer quotes. */	-	
COMMENT_BLOCK	src/herramienta/Escapers.java	22	en	/** JSON string escape (handles backslash, quote, control chars). */	-	
COMMENT_BLOCK	src/herramienta/Escapers.java	45	mixed	/** CSV quoting per RFC-4180 (double internal {@code "}, wrap in {@code "}). */	-	
STRING	src/herramienta/Escapers.java	45	en	}, wrap in {@code	-	
COMMENT_BLOCK	src/herramienta/ExportadorLlibres.java	96	en	/** * Extended HTML export with an explicit cover-inclusion flag and * pre-loaded cover bytes. The simpler overload above omits covers * (renders a 📖 placeholder for every book) and is the safe default * for libraries with more than {@link #LARGE_LIBRARY_COVER_THRESHOLD} * books — base64-encoding a 50 KB cover per book produces ~50 MB * of HTML for 1 000 books, which most browsers handle poorly. * * <p>When {@code coverBlobs} is non-null it must contain one entry * per book in {@code view} (same order). A {@code null} entry means * "no cover available, render the placeholder". Callers that opt in * to covers must populate the array from a background thread (the * underlying {@code CoverService.getCachedBytes} and * {@code cd.getLlibreBlob} do disk + DB I/O). */	-	
COMMENT_BLOCK	src/herramienta/ExportadorLlibres.java	122	en	/** Above this many books, the caller should pre-load covers off the * EDT and pass them in, or skip covers entirely (the default * 3-arg overload does this). */	-	
COMMENT_BLOCK	src/herramienta/ExportadorLlibres.java	328	en	/** Wraps {@link Escapers#json(String)} in double quotes and renders * {@code null} as the JSON literal {@code null}. */	-	
STRING	src/herramienta/FiltreUtils.java	24	mixed	The Lord of the Rings	-	
COMMENT_BLOCK	src/herramienta/FiltreUtils.java	42	en	/** * Single source of truth for the in-memory filter predicate. SQL path in * {@code LlibreDao.search} mirrors this — when adding a new field to * {@link LlibreFilter}, also extend the SQL builder there. * * <p>{@code tagISBNs} and {@code llistaISBNs} are pre-computed ISBN sets * supplied by the caller (they require DB lookups) so this method stays * pure and side-effect-free. */	-	
COMMENT_BLOCK	src/herramienta/FormatOptions.java	3	en	/** * Shared format option lists for book format combos. * Used by New-Book Dialog, Details Panel, and Batch-Edit Dialog. * Single source of truth avoids I18n key drift. */	-	
COMMENT_BLOCK	src/herramienta/FormatOptions.java	11	en	/** Returns format options with a blank first entry (for "no selection"). */	-	
COMMENT_BLOCK	src/herramienta/FormatOptions.java	17	en	/** Returns format options with a "no change" first entry (for batch edit). */	-	
STRING	src/herramienta/FormatOptions.java	17	mixed	no change	-	
COMMENT_LINE	src/herramienta/ImportadorLlibres.java	58	mixed	per a CSV grans).	-	
COMMENT_BLOCK	src/herramienta/ImpressorTaulaCopiaSeguretat.java	3	en	/** * Place-holder for per-table backup-printf builders. {@link BackupService#backupToSQL} * currently inlines a 26-arg printf for the llibre table; future refactor will move one * builder per table here (llibre, llista, llibre_llista, tag, llibre_tag, prestec, lectura, * autor, llibre_autor). * * <p>Today, callers should continue using {@code BackupService.backupToSQL}; this class is the * named seam where future per-table builders will live. */	-	
COMMENT_BLOCK	src/herramienta/Lang.java	3	en	/** Supported UI languages. Ordinal matches the column index used by {@link I18n#TABLE} arrays. */	-	
COMMENT_BLOCK	src/herramienta/ParseHelpers.java	5	en	/** * Shared text-to-number parsers for the presentacio layer. * * Two contracts coexist: * <ul> * <li><b>Best-effort</b> ({@code parseIntOrNull} / {@code parseLongOrNull} / * {@code parseDoubleOrNull}): silent on bad input. Returns a boxed type so * the caller can distinguish "empty" from "zero". Use in sort, display, * or default-aware paths where an error dialog is undesirable.</li> * <li><b>Strict</b> ({@code parseInt} / {@code parseLong} / {@code parseDouble}): * empty input is mapped to {@code defaultValue}; non-numeric input * appends a translated message to {@code errors} and returns * {@code defaultValue}. Use in save paths so a single bad field * aborts the save before the model is mutated.</li> * </ul> * * Replaces the parallel parsers that used to live in * {@code DetallesLlibrePanelControl} and {@code GuardarLlibresDialogoControl}. */	-	
COMMENT_BLOCK	src/herramienta/PresetStore.java	5	mixed	/** Typed view of preset-related {@link Config} keys. */	-	
COMMENT_BLOCK	src/herramienta/RelationRemapper.java	11	en	/** * Maps incoming external IDs (from CSV/JSON exports) to the locally-assigned IDs of shelves * and tags, creating new entries when no name match exists. Replaces duplicated remap loops in * {@code ImportExportRouter.importJson} and {@code BookImporter.importJSON}. */	-	
COMMENT_BLOCK	src/herramienta/SelectorMostraColor.java	13	en	/** Compact shelf-color picker using a fixed palette (no full {@code JColorChooser}). */	-	
COMMENT_BLOCK	src/herramienta/SelectorMostraColor.java	16	en	/** * Default shelf color when none has been assigned. Shared by * {@link #chooseHex} (when the caller passes {@code null}) and * {@code GestioLlistesDialog.onColorLlista} (when the existing * shelf has no color). Lifting it to a single constant makes * the policy "new shelf starts blue" easy to change in one * place (per the tot.txt MEDIUM finding on the shared default). */	-	
COMMENT_BLOCK	src/herramienta/SelectorMostraColor.java	33	en	/** @return chosen color hex (#RRGGBB) or {@code null} if cancelled */	-	
COMMENT_BLOCK	src/herramienta/ServeiCoberta.java	15	en	/** * Unified cover-fetching: bounded pool, L1 memory cache, L2 disk cache under ~/.biblioteca/covers/. */	-	
STRING	src/herramienta/ServeiCoberta.java	28	en	cover-fetch	-	
STRING	src/herramienta/ServeiCoberta.java	36	en	cover-write	-	
COMMENT_BLOCK	src/herramienta/ServeiCoberta.java	83	mixed	/** Fetch cover bytes for {@code isbn}, save to DB blob, invoke callback on success. */	-	
COMMENT_BLOCK	src/herramienta/ServeiCoberta.java	151	en	/** Shutdown the cover-fetch pool. Called from a shutdown hook. */	-	
STRING	src/herramienta/ServeiCopiaSeguretat.java	24	mixed	Cerca a Internet	-	
STRING	src/herramienta/ServeiCopiaSeguretat.java	44	mixed	auto-backup	-	
STRING	src/herramienta/ServeiCopiaSeguretat.java	87	mixed	yyyy-MM-dd_HH-mm-ss	-	
COMMENT_BLOCK	src/herramienta/UITheme.java	22	en	/** Typed read-only view of the runtime theme palette. A fresh snapshot * is returned by {@link #palette()} on every call so the record reflects * the current state of the mutable Color statics (which are still the * single source of truth — they get re-assigned by {@link #setTheme} * and the theme appliers). Migration target: callers do * {@code UITheme.palette().bgMain} instead of {@code UITheme.palette().bgMain()}. */	-	
